cohort_id	accession	origin_stream	in_old	in_timer	old_cohort_ids	timer_refs	comparison_tracks	track_category	track_category_label	cancer_type	therapy_combination	has_rnr	responders	non_responders	has_pre_post	pre_treatment	post_treatment	stratification_source	notes
gse176307_unified	GSE176307	old	true	false	gse176307_urothelial_pd1		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
gse195832_unified	GSE195832	timer	false	true		timer_active	TREATMENT_DELTA	B	TREATMENT_DELTA only	Head and neck squamous cell carcinoma	anti-PD-1	no			yes	28.0	28.0	timer_clinical_track_matrix	
gse202069_shared	GSE202069	both	true	true	gse202069_hcc_anti_pd1	timer_active	TREATMENT_DELTA	B	TREATMENT_DELTA only	Hepatocellular carcinoma	anti-PD-1	no			yes	17.0	24.0	timer_clinical_track_matrix	
gse207422_unified	GSE207422	timer	false	true		timer_active	PRE_RESPONSE|TREATMENT_DELTA	C	PRE_RESPONSE + TREATMENT_DELTA	Non small-cell lung cancer	anti-PD-1	yes	17.0	7.0	yes	3.0	21.0	timer_clinical_track_matrix	
gse210287_unified	GSE210287	timer	false	true		timer_active	PRE_RESPONSE|TREATMENT_DELTA	C	PRE_RESPONSE + TREATMENT_DELTA	Head and neck squamous cell carcinoma	anti-PDL1	yes	13.0	9.0	yes	12.0	10.0	timer_clinical_track_matrix	
gse215011_unified	GSE215011	old	true	false	gse215011_hcc_nivolumab		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
gse218989_unified	GSE218989	timer	false	true		timer_active	PRE_RESPONSE	A	PRE_RESPONSE only	Lung cancer	anti-PD-1/PD-L1	yes	168.0	187.0	no			timer_clinical_track_matrix	
gse222932_unified	GSE222932	old	true	false	gse222934_gse222932_urothelial_guadecitabine_atezolizumab		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
gse222934_unified	GSE222934	old	true	false	gse222934_gse222932_urothelial_guadecitabine_atezolizumab		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
gse235910_unified	GSE235910	timer	false	true		timer_active	TREATMENT_DELTA	B	TREATMENT_DELTA only	Head and neck squamous cell carcinoma	afatinib	no			yes	13.0	13.0	timer_clinical_track_matrix	
