cohort_id	accession	origin_stream	in_old	in_timer	old_cohort_ids	timer_refs	comparison_tracks	track_category	track_category_label	cancer_type	therapy_combination	has_rnr	responders	non_responders	has_pre_post	pre_treatment	post_treatment	stratification_source	notes	rnr_total_samples	rnr_subclass	rnr_balance_class	r_to_nr_ratio
gse305511_unified	GSE305511	old	true	false	gse305240_gse305511_gastric_anti_pd1_methylation		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.		RNR_NOT_AVAILABLE	RNR_BALANCE_NA	
gse306800_unified	GSE306800	old	true	false	gse306800_srp614547_hnscc_durvalumab_metformin		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.		RNR_NOT_AVAILABLE	RNR_BALANCE_NA	
gse67501_unified	GSE67501	timer	false	true		timer_active	PRE_RESPONSE	A	PRE_RESPONSE only	Renal cell carcinoma	anti-PD-1	yes	4.0	7.0	no			timer_clinical_track_matrix		11	RNR_ULTRA_SMALL_LT20	NR_DOMINANT	0.5714
gse78220_unified	GSE78220	timer	false	true		timer_active	PRE_RESPONSE	A	PRE_RESPONSE only	Melanoma	anti-PD-1	yes	15.0	13.0	no			timer_clinical_track_matrix		28	RNR_SMALL_20_49	BALANCED	1.1538
gse91061_unified	GSE91061	timer	false	true		timer_active	PRE_RESPONSE|TREATMENT_DELTA	C	PRE_RESPONSE + TREATMENT_DELTA	Melanoma	anti-PD-1	yes	20.0	78.0	yes	51.0	58.0	timer_clinical_track_matrix		98	RNR_MEDIUM_50_149	NR_DOMINANT_EXTREME	0.2564
gse93157_unified	GSE93157	timer	false	true		timer_active	PRE_RESPONSE	A	PRE_RESPONSE only	Non small-cell lung cancer	anti-PD-1	yes	6.0	16.0	no			timer_clinical_track_matrix		22	RNR_SMALL_20_49	NR_DOMINANT	0.3750
gse96619_unified	GSE96619	timer	false	true		timer_active	TREATMENT_DELTA	B	TREATMENT_DELTA only	Melanoma	anti-PD-1	no			yes	5.0	5.0	timer_clinical_track_matrix			NO_RNR_ENDPOINT	RNR_BALANCE_NA	
erp105482_unified	ERP105482	old	true	false	erp105482_melanoma_pd1;erp105482_melanoma_pd1_ctla4_combo		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.		RNR_NOT_AVAILABLE	RNR_BALANCE_NA	
erp107734_unified	ERP107734	old	true	false	erp107734_gastric_pd1		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.		RNR_NOT_AVAILABLE	RNR_BALANCE_NA	
prjeb23709_unified	PRJEB23709	timer	false	true		timer_active	PRE_RESPONSE|TREATMENT_DELTA	C	PRE_RESPONSE + TREATMENT_DELTA	Melanoma	anti-CTLA-4+anti-PD-1	yes	49.0	42.0	yes	73.0	18.0	timer_clinical_track_matrix		91	RNR_MEDIUM_50_149	BALANCED	1.1667
prjeb25780_unified	PRJEB25780	timer	false	true		timer_active	PRE_RESPONSE	A	PRE_RESPONSE only	Stomach adenocarcinoma	anti-PD-1	yes	21.0	57.0	no			timer_clinical_track_matrix		78	RNR_MEDIUM_50_149	NR_DOMINANT	0.3684
prjna482620_unified	PRJNA482620	timer	false	true		timer_active	PRE_RESPONSE	A	PRE_RESPONSE only	Glioblastoma	anti-PD-1	yes	17.0	17.0	no			timer_clinical_track_matrix		34	RNR_SMALL_20_49	BALANCED	1.0000
prjna564119_unified	PRJNA564119	old	true	false	gse136961_prjna564119_nsclc_pd1		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.		RNR_NOT_AVAILABLE	RNR_BALANCE_NA	
srp070710_unified	SRP070710	old	true	false	srp070710_melanoma_pd1		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.		RNR_NOT_AVAILABLE	RNR_BALANCE_NA	
srp094781_unified	SRP094781	old	true	false	srp094781_melanoma_pd1		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.		RNR_NOT_AVAILABLE	RNR_BALANCE_NA	
srp150548_unified	SRP150548	old	true	false	srp150548_melanoma_pd1;srp150548_melanoma_pd1_ctla4_combo		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.		RNR_NOT_AVAILABLE	RNR_BALANCE_NA	
srp155030_unified	SRP155030	old	true	false	srp155030_glioblastoma_pd1		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.		RNR_NOT_AVAILABLE	RNR_BALANCE_NA	
srp183455_unified	SRP183455	old	true	false	gse126044_srp183455_nsclc_pd1		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.		RNR_NOT_AVAILABLE	RNR_BALANCE_NA	
srp217040_unified	SRP217040	old	true	false	gse135222_srp217040_nsclc_pdl1		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.		RNR_NOT_AVAILABLE	RNR_BALANCE_NA	
srp230414_unified	SRP230414	old	true	false	srp230414_melanoma_pd1		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.		RNR_NOT_AVAILABLE	RNR_BALANCE_NA	
srp250849_unified	SRP250849	old	true	false	gse145996_srp250849_melanoma_pd1		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.		RNR_NOT_AVAILABLE	RNR_BALANCE_NA	
srp302761_unified	SRP302761	old	true	false	gse165278_srp302761_melanoma_ctla4		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.		RNR_NOT_AVAILABLE	RNR_BALANCE_NA	
srp609012_unified	SRP609012	old	true	false	gse305240_gse305511_gastric_anti_pd1_methylation		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.		RNR_NOT_AVAILABLE	RNR_BALANCE_NA	
srp614547_unified	SRP614547	old	true	false	gse306800_srp614547_hnscc_durvalumab_metformin		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.		RNR_NOT_AVAILABLE	RNR_BALANCE_NA	
