candidate_id	source_stream	cancer_type	therapy_context	comparison_type	resolved_accession	publication	proposed_role	notes
timer_gse195832_treatment_delta	GEO	Head and neck squamous cell carcinoma	anti-PD-1	TREATMENT_DELTA	GSE195832	https://pubmed.ncbi.nlm.nih.gov/35262677/	discovery_candidate	TIMER pre/post list; dataset_size=56; pre=28; post=28
timer_gse202069_treatment_delta	GEO	Hepatocellular carcinoma	anti-PD-1	TREATMENT_DELTA	GSE202069	https://pubmed.ncbi.nlm.nih.gov/35842234/	discovery_candidate	TIMER pre/post list; dataset_size=41; pre=17; post=24
timer_gse207422_pre_response	GEO	Non small-cell lung cancer	anti-PD-1	PRE_RESPONSE	GSE207422	https://pubmed.ncbi.nlm.nih.gov/36869384/	discovery_candidate	TIMER R/NR list; dataset_size=24; responders=17; nonresponders=7
timer_gse207422_treatment_delta	GEO	Non small-cell lung cancer	anti-PD-1	TREATMENT_DELTA	GSE207422	https://pubmed.ncbi.nlm.nih.gov/36869384/	discovery_candidate	TIMER pre/post list; dataset_size=24; pre=3; post=21
timer_gse210287_pre_response	GEO	Head and neck squamous cell carcinoma	anti-PDL1	PRE_RESPONSE	GSE210287	https://pubmed.ncbi.nlm.nih.gov/36385142/	discovery_candidate	TIMER R/NR list; dataset_size=22; responders=13; nonresponders=9
timer_gse210287_treatment_delta	GEO	Head and neck squamous cell carcinoma	anti-PDL1	TREATMENT_DELTA	GSE210287	https://pubmed.ncbi.nlm.nih.gov/36385142/	discovery_candidate	TIMER pre/post list; dataset_size=22; pre=12; post=10
timer_gse218989_pre_response	GEO	Lung cancer	anti-PD-1/PD-L1	PRE_RESPONSE	GSE218989	https://pubmed.ncbi.nlm.nih.gov/38744958/	discovery_candidate	TIMER R/NR list; dataset_size=355; responders=168; nonresponders=187
timer_gse235910_treatment_delta	GEO	Head and neck squamous cell carcinoma	afatinib	TREATMENT_DELTA	GSE235910	https://pubmed.ncbi.nlm.nih.gov/37531234/	discovery_candidate	TIMER pre/post list; dataset_size=26; pre=13; post=13
timer_gse67501_pre_response	GEO	Renal cell carcinoma	anti-PD-1	PRE_RESPONSE	GSE67501	https://pubmed.ncbi.nlm.nih.gov/27491898/	discovery_candidate	TIMER R/NR list; dataset_size=11; responders=4; nonresponders=7
timer_gse78220_pre_response	GEO	Melanoma	anti-PD-1	PRE_RESPONSE	GSE78220	https://pubmed.ncbi.nlm.nih.gov/28129544/	discovery_candidate	TIMER R/NR list; dataset_size=28; responders=15; nonresponders=13
timer_gse91061_pre_response	GEO	Melanoma	anti-PD-1	PRE_RESPONSE	GSE91061	https://pubmed.ncbi.nlm.nih.gov/29033130/	discovery_candidate	TIMER R/NR list; dataset_size=109; responders=20; nonresponders=78
timer_gse91061_treatment_delta	GEO	Melanoma	anti-PD-1	TREATMENT_DELTA	GSE91061	https://pubmed.ncbi.nlm.nih.gov/29033130/	discovery_candidate	TIMER pre/post list; dataset_size=109; pre=51; post=58
timer_gse93157_pre_response	GEO	Non small-cell lung cancer	anti-PD-1	PRE_RESPONSE	GSE93157	https://pubmed.ncbi.nlm.nih.gov/28487385/	discovery_candidate	TIMER R/NR list; dataset_size=22; responders=6; nonresponders=16
timer_gse96619_treatment_delta	GEO	Melanoma	anti-PD-1	TREATMENT_DELTA	GSE96619	https://pubmed.ncbi.nlm.nih.gov/28494868/	discovery_candidate	TIMER pre/post list; dataset_size=10; pre=5; post=5
timer_prjeb23709_pre_response	SRA/BioProject	Melanoma	anti-CTLA-4+anti-PD-1	PRE_RESPONSE	PRJEB23709	https://pubmed.ncbi.nlm.nih.gov/30753825/	discovery_candidate	TIMER R/NR list; dataset_size=91; responders=49; nonresponders=42
timer_prjeb23709_treatment_delta	SRA/BioProject	Melanoma	anti-CTLA-4+anti-PD-1	TREATMENT_DELTA	PRJEB23709	https://pubmed.ncbi.nlm.nih.gov/30753825/	discovery_candidate	TIMER pre/post list; dataset_size=91; pre=73; post=18
timer_prjeb25780_pre_response	SRA/BioProject	Stomach adenocarcinoma	anti-PD-1	PRE_RESPONSE	PRJEB25780	https://pubmed.ncbi.nlm.nih.gov/30013197/	discovery_candidate	TIMER R/NR list; dataset_size=78; responders=21; nonresponders=57
timer_prjna482620_pre_response	SRA/BioProject	Glioblastoma	anti-PD-1	PRE_RESPONSE	PRJNA482620	https://pubmed.ncbi.nlm.nih.gov/30996326/	discovery_candidate	TIMER R/NR list; dataset_size=34; responders=17; nonresponders=17
