file_id	case_id	sample_id	modality	workflow	file_name	advertised_bytes	advertised_md5	status
a6b95b6e-eb89-4a2b-a4f0-b35ee9dda816	ddeacccf-0953-4952-8a4e-c2617f2e7bcc	37a8d3a5-baa0-427c-ab43-48ae4b93633b	450K	SeSAMe Methylation Beta Estimation	e28db848-e521-463d-b98f-68ecc067405e.methylation_array.sesame.level3betas.txt	13187483	0672b3ea3f27029bbeea751f8fe44080	metadata_candidate_not_QC_eligible
a777fb14-4498-4f32-bccb-1e8521567302	0a45f302-5748-48f3-9dc9-66c01843a68e	2b87b12c-5ca7-4492-a2f6-26f9644e1d5a	RNA	STAR - Counts	96780e00-b519-4bec-a49b-c2cc2d19a744.rna_seq.augmented_star_gene_counts.tsv	4216161	6d7026d174217106f4ba9a89afc59647	metadata_candidate_not_QC_eligible
a912206f-60e9-4564-9d84-db9c3ee75343	d2824e6d-3784-45c2-9b0f-52b17356b5da	f9f9c1dd-8462-4560-82b8-aea4309854c9	RNA	STAR - Counts	99c5c1c4-851a-42a4-b5a2-dd9da2959343.rna_seq.augmented_star_gene_counts.tsv	4264297	7e1f4be8d5e825666e9bd0339b72fdf5	metadata_candidate_not_QC_eligible
a96b1164-baf8-42a9-a8ad-219b6518e234	15f12d2c-b834-4bfc-b526-f03bf85bfe96	71de7aed-0fd7-4381-847b-885e1310d6ef	450K	SeSAMe Methylation Beta Estimation	5260f7f2-f2eb-432d-b02f-cbd74ed89f58.methylation_array.sesame.level3betas.txt	13187258	3324ef70ca0b9c3ff2b6e3b4e3f0fba5	metadata_candidate_not_QC_eligible
a9e3a464-50ea-49a0-9482-1513ed167bf4	54e90433-5218-4d83-848f-f995ecba2a63	b8f9acbf-0e4b-4967-a11b-7234b6cf83e0	RNA	STAR - Counts	6804af50-1b4f-4872-83b8-bae24d398cb4.rna_seq.augmented_star_gene_counts.tsv	4251798	f0bb3bbc9da88c260eb3355dc9e69d29	metadata_candidate_not_QC_eligible
aaa72a07-5214-4145-9fb5-99c22b7c248a	c1a01e8c-1f7e-4e24-bfad-90b73f88e992	d0090140-e835-484e-bef0-e83011931b66	RNA	STAR - Counts	f99ac82f-4fe6-4a9a-9d49-67c42cf66208.rna_seq.augmented_star_gene_counts.tsv	4233406	0b040ed97893575b9e567491d82824f5	metadata_candidate_not_QC_eligible
aabb1f03-8a4e-4d38-b09e-d9b56b5b921c	d31aeefc-b59b-42e9-9919-750b17a70a3d	b8e996d3-14b1-465f-b1e3-d6849b144be1	RNA	STAR - Counts	f8cc4515-2576-4a72-9cf1-28dfe774eda9.rna_seq.augmented_star_gene_counts.tsv	4257091	52fff028a9744532f9c134b9cc53037e	metadata_candidate_not_QC_eligible
aad8d860-667f-45e8-9854-bfffcb4b6c32	78ae716b-0ca5-4c01-a053-d41288385fcd	dd9c2f71-145a-4f7f-8b64-095b1fc75c3d	450K	SeSAMe Methylation Beta Estimation	1ede68ab-fc23-44d2-b9f7-99d07568ae7c.methylation_array.sesame.level3betas.txt	13124748	18333c0abee0dbb14dfae2b839659717	metadata_candidate_not_QC_eligible
aaed597b-1f13-4495-ad64-d01510fe556e	c0c879f7-c332-4d31-9f7e-a3bf361b36ee	a9c846b1-9ee0-4f96-85bf-b7dd53c4230c	450K	SeSAMe Methylation Beta Estimation	391de967-1fed-4b09-991f-313675e9e153.methylation_array.sesame.level3betas.txt	13194702	987cfa3eb706f2a94a285ab5e3d0afbd	metadata_candidate_not_QC_eligible
ab24be1b-969c-48f2-bc98-8b89bc719b4c	433a32d0-93d1-4897-8e36-beb1ec1d998e	3e7cdfb1-cdeb-4c56-91aa-08930083b39d	RNA	STAR - Counts	2a48ffd2-9212-48f4-a836-7572eb2feffe.rna_seq.augmented_star_gene_counts.tsv	4236126	e3867dbc0c259e4a45e585822b6ee6ba	metadata_candidate_not_QC_eligible
ab3c7d7c-7ad0-4f26-9991-ddd288598936	5ace9608-d38a-42f2-a877-ec7c9d211808	79843244-8e55-4f0b-9282-20ffc846e690	RNA	STAR - Counts	5d843590-36a7-4568-88a4-2bc09e14927f.rna_seq.augmented_star_gene_counts.tsv	4222576	e2a5a342800957b223e29d242646d961	metadata_candidate_not_QC_eligible
